بمپنا,	50.55	40	20.26
هجرت,	43.1	43	27.54
وتجارت,	40.66	57	21.71
دپارس,	43.21	43	23.58
ارفعح,	21.72	27	48.28
دعبيد,	45.89	43	23.02
شكلر,	47.49	44	23.82
درازك,	51.98	43	22.94
كرمان,	41.34	70	31.49
غبشهر,	48.8	42	20.73
وسينا,	41.11	57	26.21
هاي وب,	42.21	73	25.67
ذوب,	40.28	27	25.21
شپنا,	20.24	23	61.68
ثمسكن,	50.96	70	25.53
ساراب,	46.5	53	32.52
ونوين,	37.52	57	41.58
دكيمي,	46.42	43	30.49
دسبحان,	50.82	43	28.43
